"player","g","gs","mp","fg","fga","x3p","x3pa","x2p","x2pa","ft","fta","orb","drb","trb","ast","stl","blk","tov","pf","pts"
"Keith Van Horn",709,541,21992,4063,9126,744,2030,3319,7096,2194,2624,1360,3344,4704,1095,576,349,1512,2121,11064
"Kelan Martin",126,6,1717,273,661,93,306,180,355,57,67,64,220,284,82,43,37,64,158,696
"Keldon Johnson",206,187,6123,1213,2607,340,920,873,1687,533,702,222,918,1140,411,144,49,273,405,3299
"Kelenna Azubuike",208,84,5025,802,1748,210,514,592,1234,364,473,257,572,829,230,130,103,203,408,2178
"Keljin Blevins",48,1,424,39,131,23,80,16,51,6,11,19,36,55,23,15,1,22,37,107
"Kelly McCarty",2,0,4,2,3,0,0,2,3,0,0,2,1,3,0,0,0,2,0,4
"Kelly Olynyk",720,268,16532,2719,5688,918,2519,1801,3169,1212,1531,854,2917,3771,1580,586,351,1107,2061,7568
"Kelly Oubre Jr.",583,211,15137,2708,6233,890,2717,1818,3516,1216,1621,567,2011,2578,610,588,303,644,1497,7522
"Kelly Tripucka",707,575,20959,4434,9380,168,465,4266,8915,3106,3660,937,1766,2703,2090,678,137,1697,1634,12142
"Kelvin Cato",568,248,10950,1159,2300,1,13,1158,2287,739,1142,904,2040,2944,248,298,697,466,1399,3058
"Kelvin Ransey",474,NA,11586,2207,4862,20,152,2187,4710,946,1209,227,674,901,2480,472,34,958,923,5380
"Kelvin Upshaw",192,1,2522,430,947,21,89,409,858,147,190,58,177,235,428,134,13,203,343,1028
"Kemba Walker",750,697,24810,4999,11954,1670,4642,3329,7312,2818,3354,418,2413,2831,3938,923,282,1574,1111,14486
"Ken Austin",7,0,28,6,13,0,0,6,13,0,0,2,1,3,1,1,1,3,7,12
"Ken Bannister",253,71,3867,586,1202,0,4,586,1198,329,669,276,617,893,111,109,80,347,669,1501
"Ken Boyd",6,NA,25,7,13,NA,NA,7,13,5,11,3,2,5,2,3,0,NA,2,19
"Ken Charles",322,NA,7637,1083,2458,NA,NA,1083,2458,581,736,198,442,640,806,407,128,NA,806,2747
"Ken Corley",3,NA,NA,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0
"Ken Durrett",168,NA,1650,259,608,NA,NA,259,608,131,209,NA,NA,335,72,NA,NA,NA,269,649
"Ken Green",7,0,72,13,27,0,0,13,27,5,9,12,15,27,2,4,0,1,8,31
"Ken Johnson",80,0,971,128,251,0,0,128,251,39,91,94,181,275,19,14,34,65,167,295
"Ken Keller",56,NA,NA,20,60,NA,NA,20,60,4,10,NA,NA,NA,2,NA,NA,NA,30,44
"Ken Mayfield",13,NA,64,17,46,NA,NA,17,46,3,3,1,7,8,4,0,0,NA,18,37
"Ken McBride",12,NA,249,48,147,NA,NA,48,147,21,29,NA,NA,31,14,NA,NA,NA,31,117
"Ken Menke",6,NA,NA,6,17,NA,NA,6,17,3,8,NA,NA,NA,7,NA,NA,NA,7,15
"Ken Murray",313,NA,NA,1029,3039,NA,NA,1029,3039,735,982,NA,NA,1133,908,NA,NA,NA,640,2793
"Ken Norman",646,441,18992,3737,7695,231,741,3506,6954,1012,1786,1352,2597,3949,1355,517,431,1173,1483,8717
"Ken Rohloff",2,NA,7,0,1,NA,NA,0,1,0,0,NA,NA,0,1,NA,NA,NA,4,0
"Ken Smith",19,NA,164,34,83,1,5,33,78,13,16,9,15,24,7,4,0,8,22,82
"Ken Spain",11,NA,112,8,22,0,0,8,22,8,17,11,29,40,2,NA,NA,9,17,24
"Ken Wilburn",101,NA,970,160,413,NA,NA,160,413,78,150,NA,NA,411,55,NA,NA,NA,141,398
"Kendall Brown",6,0,40,4,7,0,1,4,6,1,2,2,4,6,3,4,0,2,9,9
"Kendall Gill",1013,837,31164,5314,12196,341,1130,4973,11066,2601,3443,1346,2888,4234,3205,1583,456,1865,2646,13570
"Kendall Marshall",160,57,3083,315,789,128,346,187,443,44,72,23,230,253,779,107,10,285,180,802
"Kendall Rhine",125,NA,2668,305,787,0,2,305,785,176,321,NA,NA,1039,181,NA,NA,155,441,786
"Kendrick Nunn",207,115,4788,954,2140,351,993,603,1147,177,204,58,429,487,448,136,35,258,338,2436
"Kendrick Perkins",879,592,19052,1874,3576,0,15,1874,3561,886,1508,1458,3626,5084,890,288,971,1384,2395,4634
"Kennard Winchester",141,1,1109,185,444,14,43,171,401,68,87,63,83,146,54,30,27,49,120,452
"Kennedy Chandler",23,0,220,26,66,2,14,24,52,5,11,6,24,30,46,10,5,16,13,59
"Kenneth Faried",515,398,12456,2346,4274,18,70,2328,4204,1104,1689,1562,2572,4134,490,368,415,659,1262,5814
"Kenneth Gardner",9,NA,51,6,18,0,0,6,18,2,2,8,5,13,3,2,1,1,9,14
"Kenneth Lofton Jr.",7,0,29,7,17,0,3,7,14,3,5,1,3,4,4,0,0,2,4,17
"Kenny Anderson",1092,835,31948,4867,11603,703,2016,4164,9587,2723,3459,827,2410,3237,6417,1547,131,2182,2480,13160
"Kenny Battle",206,25,2832,387,781,7,55,380,726,217,294,225,294,519,172,160,51,148,332,998
"Kenny Carr",827,NA,20931,3783,7458,NA,NA,3779,7406,2067,3044,1872,4246,6118,1086,614,370,1744,2648,9637
"Kenny Dennard",95,3,1244,109,254,3,10,106,244,47,73,104,182,286,93,74,17,69,191,268
"Kenny Fields",232,38,3575,622,1329,6,28,616,1301,284,382,239,373,612,249,129,49,234,517,1534
"Kenny Gattison",494,130,9927,1536,2956,1,12,1535,2944,850,1309,744,1583,2327,444,290,327,602,1419,3923
"Kenny Green",101,0,1078,191,454,0,2,191,452,84,117,60,114,174,25,14,20,85,114,466
"Kenny Higgs",216,NA,4435,538,1221,NA,NA,530,1166,386,480,65,326,391,944,239,23,369,682,1470
"Kenny McIntosh",236,NA,4838,516,1452,NA,NA,516,1452,172,294,NA,NA,927,227,NA,NA,NA,435,1204
"Kenny Natt",57,NA,417,67,162,2,10,65,152,20,33,19,24,43,44,14,1,38,60,156
"Kenny Payne",144,13,1167,218,532,17,58,201,474,55,64,45,125,170,61,38,22,67,129,508
"Kenny Rollins",168,NA,NA,326,1056,NA,NA,326,1056,165,220,NA,NA,NA,344,NA,NA,NA,342,817
"Kenny Sailors",380,NA,NA,1643,5035,NA,NA,1643,5035,1211,1701,NA,NA,NA,990,NA,NA,NA,1374,4497
"Kenny Satterfield",114,16,1564,183,565,17,83,166,482,70,96,49,89,138,244,71,5,139,115,453
"Kenny Sears",606,NA,16064,2626,5724,NA,NA,2626,5724,2556,3105,NA,NA,4348,938,NA,NA,NA,1598,7808
"Kenny Smith",864,704,25399,4006,8402,749,1883,3257,6519,1879,2267,303,1352,1655,4634,857,73,1889,1358,10640
"Kenny Thomas",771,506,21451,2936,6306,60,247,2876,6059,1519,2139,1816,3589,5405,1239,656,321,1301,1977,7451
"Kenny Walker",448,160,9050,1240,2556,7,34,1233,2522,641,856,742,1051,1793,299,235,299,351,1184,3128
"Kenny Williams",260,7,2918,547,1070,0,14,547,1056,153,225,315,378,693,161,76,166,136,366,1247
"Kenrich Williams",242,68,5345,656,1410,211,592,445,818,101,193,344,764,1108,479,200,79,200,490,1624
"Kent Bazemore",792,346,16145,2276,5545,821,2319,1455,3226,1041,1446,274,2209,2483,1338,775,362,1075,1636,6414
"Kent Benson",753,NA,17610,2877,5842,NA,NA,2869,5803,1104,1468,1342,2992,4334,1381,678,678,1226,2181,6866
"Kentavious Caldwell-Pope",732,590,21525,3024,7139,1261,3443,1763,3696,1161,1427,447,1848,2295,1260,817,172,755,1358,8470
"Kenton Edelin",10,1,143,4,13,0,0,4,13,3,8,8,18,26,10,5,4,3,39,11
"Kenyon Martin",757,667,23134,3875,8031,66,282,3809,7749,1509,2398,1312,3847,5159,1439,893,864,1318,2498,9325
"Kenyon Martin Jr.",174,27,3988,665,1244,140,401,525,843,207,320,225,586,811,219,86,97,154,291,1677
"Keon Clark",434,68,9691,1428,2878,1,20,1427,2858,665,1051,791,1739,2530,394,216,725,560,1257,3522
"Keon Ellis",5,0,11,1,2,1,2,0,0,0,0,0,2,2,1,0,0,0,2,3
"Keon Johnson",99,24,1657,233,656,87,254,146,402,91,119,55,141,196,176,68,28,119,165,644
"Kermit Washington",564,NA,14432,2025,3889,NA,NA,2025,3885,1280,1937,1737,3109,4846,767,450,614,NA,1818,5330
"Kerry Kittles",507,455,16929,2779,6337,694,1838,2085,4499,913,1171,513,1470,1983,1295,811,221,621,893,7165
"Kessler Edwards",61,24,1061,116,289,50,147,66,142,17,21,50,136,186,33,32,25,46,88,299
"Kevin Brooks",126,2,1031,172,429,12,60,160,369,61,71,40,101,141,48,18,6,69,84,417
"Kevin Burleson",39,1,340,22,88,10,54,12,34,16,17,4,22,26,48,26,2,25,63,70
"Kevin Duckworth",749,528,18337,3346,7143,5,25,3341,7118,1740,2373,1445,2723,4168,627,350,337,1315,2387,8437
"Kevin Durant",978,975,35912,9126,18311,1841,4800,7285,13511,6591,7439,673,6235,6908,4239,1053,1095,3100,1893,26684
"Kevin Edwards",643,307,15819,2707,6424,182,540,2525,5884,1150,1430,536,1171,1707,1648,851,198,1168,1056,6746
"Kevin Gamble",714,283,15833,2714,5485,272,748,2442,4737,840,1038,391,1179,1570,1400,505,184,630,1375,6540
"Kevin Garnett",1509,1472,51370,10648,21448,175,639,10473,20809,4923,6235,3257,11716,14973,5522,1905,2054,3225,3670,26394
"Kevin Grevey",672,NA,15246,2915,6670,NA,NA,2770,6236,1389,1701,590,1004,1594,1247,392,112,NA,1286,7364
"Kevin Henderson",39,4,425,45,114,0,2,45,112,32,54,19,26,45,57,17,0,38,61,122
"Kevin Hervey",10,0,52,7,27,3,20,4,7,0,0,1,11,12,5,1,1,0,4,17
"Kevin Huerter",320,262,9543,1443,3291,692,1800,751,1491,250,326,193,923,1116,1010,303,109,433,760,3828
"Kevin Johnson",815,651,26978,4787,9756,165,548,4622,9208,4120,4902,523,2072,2595,7148,1185,200,2404,1696,13859
"Kevin Jones",32,0,334,43,107,0,0,43,107,9,15,38,40,78,10,9,5,8,25,95
"Kevin Joyce",223,NA,5647,929,2299,17,93,912,2206,316,406,107,246,353,710,201,37,413,537,2191
"Kevin Knox",282,62,4814,684,1804,298,873,386,931,302,424,146,627,773,197,99,73,221,427,1968
"Kevin Kunnert",619,NA,12805,2127,4466,NA,NA,2127,4466,579,851,1476,2772,4248,827,262,670,NA,2078,4833
"Kevin Loder",159,26,2231,384,834,7,26,377,808,148,213,120,236,356,188,70,48,154,277,923
"Kevin Loughery",897,NA,25438,5054,12269,NA,NA,5054,12269,3010,3759,NA,NA,2575,3181,NA,NA,NA,2931,13118
"Kevin Love",853,662,25911,4821,10971,1536,4130,3285,6841,3474,4187,2118,6828,8946,1996,535,349,1594,1691,14652
"Kevin Lynch",95,11,1143,123,282,3,9,120,273,61,84,42,78,120,108,48,15,68,151,310
"Kevin Martin",815,560,24287,4292,9909,1260,3315,3032,6594,4012,4603,444,2108,2552,1521,715,87,1346,1540,13856
"Kevin McHale",971,400,30118,6830,12334,41,157,6789,12177,3634,4554,2358,4764,7122,1670,344,1690,1893,2758,17335
"Kevin McKenna",243,26,3460,498,1204,103,281,395,923,221,270,102,215,317,342,184,25,204,491,1320
"Kevin Murphy",17,0,52,7,28,1,5,6,23,0,0,0,4,4,2,1,0,3,4,15
"Kevin O'Shea",239,NA,NA,464,1388,NA,NA,464,1388,433,635,NA,NA,603,529,NA,NA,NA,531,1361
"Kevin Ollie",938,126,15344,1298,3158,13,41,1285,3117,1235,1577,221,1304,1525,2297,512,34,766,1150,3844
"Kevin Pangos",24,3,166,15,46,6,26,9,20,3,4,2,9,11,30,3,0,7,11,39
"Kevin Porter",741,NA,21920,3689,7672,NA,NA,3686,7656,1498,2021,NA,NA,1393,6151,NA,NA,NA,2534,8879
"Kevin Porter Jr.",177,127,5263,946,2211,346,986,600,1225,407,572,140,606,746,874,187,60,519,461,2645
"Kevin Pritchard",113,1,1319,132,330,10,51,122,279,110,140,17,85,102,186,39,14,94,168,384
"Kevin Restani",651,NA,11144,1626,3389,NA,NA,1618,3348,353,495,831,1595,2426,799,237,127,NA,1063,3613
"Kevin Salvadori",39,0,241,13,46,0,0,13,46,16,24,11,34,45,13,2,24,17,29,42
"Kevin Séraphin",423,34,6430,1134,2318,0,7,1134,2311,248,347,502,960,1462,246,88,304,449,903,2516
"Kevin Stacom",415,NA,5370,897,2186,NA,NA,896,2184,286,375,220,376,596,636,140,16,NA,407,2081
"Kevin Thompson",14,0,58,6,14,0,1,6,13,1,2,7,6,13,3,0,2,5,11,13
"Kevin Williams",310,13,3494,576,1338,3,32,573,1306,322,402,187,239,426,372,197,45,306,671,1477
"Kevin Willis",1644,1036,44717,8197,16989,45,220,8152,16769,3484,4884,4744,9059,13803,1517,1107,879,2930,4856,19923
"Kevinn Pinkney",6,0,100,12,27,1,2,11,25,6,9,7,8,15,5,3,3,4,12,31
"Kevon Harris",26,0,328,32,76,11,28,21,48,22,27,22,30,52,12,12,3,16,35,97
"Kevon Looney",417,196,7180,875,1514,10,58,865,1456,299,492,829,1353,2182,633,203,233,240,906,2059
"Keyon Dooling",728,86,14134,1810,4356,446,1277,1364,3079,1001,1253,132,832,964,1601,463,75,803,1221,5067
"Khalid El-Amin",50,14,936,115,311,28,84,87,227,56,72,21,60,81,145,48,2,54,99,314
"Khalid Reeves",391,155,8102,1023,2485,346,965,677,1520,570,766,215,563,778,1230,305,44,617,903,2962
"Khem Birch",349,97,6354,726,1412,27,122,699,1290,405,579,718,910,1628,363,184,204,197,573,1884
"Khris Middleton",663,583,20945,4080,8925,1234,3162,2846,5763,1882,2135,404,2794,3198,2510,803,125,1387,1692,11276
"Khyri Thomas",39,2,409,59,152,24,76,35,76,18,24,12,27,39,36,19,11,13,39,160
"Kiki Vandeweghe",855,NA,25455,6339,12125,237,640,6102,11485,3564,4086,919,1937,2856,1737,487,254,1351,1638,16479
"Killian Hayes",140,90,3595,437,1153,122,421,315,732,108,138,60,353,413,692,168,61,289,381,1104
"Killian Tillie",54,4,643,62,184,37,119,25,65,14,19,27,57,84,30,28,23,15,78,175
"Kim Anderson",21,NA,224,24,77,NA,NA,24,77,15,28,17,28,45,15,4,5,22,42,63
"Kim English",41,0,407,42,112,14,50,28,62,21,29,8,29,37,26,16,3,19,46,119
"Kim Hughes",478,NA,8371,762,1604,NA,NA,762,1604,155,390,958,1536,2494,409,447,537,NA,1374,1679
"Kira Lewis Jr.",85,0,1319,205,512,56,186,149,326,61,71,22,100,122,178,50,12,64,112,527
"Kirk Haston",27,0,134,13,56,0,6,13,50,6,12,5,22,27,8,0,6,10,19,32
"Kirk Hinrich",997,723,29803,3830,9274,1271,3372,2559,5902,1537,1912,339,2489,2828,4606,1062,262,1768,2736,10468
"Kirk Penney",6,0,30,2,9,1,4,1,5,0,0,0,2,2,2,1,0,5,1,5
"Kirk Snyder",247,89,4301,585,1305,97,304,488,1001,327,464,182,435,617,305,106,84,258,383,1594
"Kiwane Lemorris Garris",31,0,248,24,75,5,15,19,60,19,25,3,17,20,30,7,1,16,22,72
"Klay Thompson",686,649,22547,5057,11110,2072,4993,2985,6117,1285,1509,316,2094,2410,1599,602,365,1161,1451,13471
"Kleggie Hermsen",401,NA,NA,1268,4312,NA,NA,1268,4312,974,1493,NA,NA,NA,487,NA,NA,NA,1408,3510
"Kobe Bryant",1346,1198,48637,11719,26200,1827,5546,9892,20654,8378,10011,1499,5548,7047,6306,1944,640,4010,3353,33643
"Kobi Simmons",33,12,645,80,189,11,39,69,150,25,25,14,36,50,68,18,5,44,61,196
"Korleone Young",3,0,15,5,10,1,4,4,6,2,2,2,2,4,1,0,0,1,3,13
"Kornél Dávid",168,16,2268,293,659,0,7,293,652,204,249,152,287,439,88,69,31,136,256,790
"Kosta Koufos",736,231,11705,1818,3427,0,6,1818,3421,437,753,1255,2327,3582,366,301,531,510,1457,4073
"Kosta Perović",7,0,38,3,10,0,0,3,10,4,6,6,7,13,1,0,2,1,6,10
"Kostas Antetokounmpo",22,0,87,6,16,0,0,6,16,9,19,6,17,23,3,4,4,13,10,21
"Kostas Papanikolaou",69,7,1089,93,263,41,138,52,125,22,32,47,111,158,101,42,18,76,95,249
"Kris Dunn",245,129,5897,816,1941,128,428,688,1513,235,318,99,716,815,1029,376,106,446,724,1995
"Kris Humphries",922,220,16288,2379,5189,89,297,2290,4892,1333,1900,1564,3346,4910,624,378,525,795,1695,6180
"Kris Joseph",20,0,108,4,28,0,6,4,22,10,16,2,12,14,2,6,0,4,6,18
"Kristaps Porziņģis",430,429,13236,2935,6552,757,2177,2178,4375,1696,2049,774,2654,3428,760,312,785,729,1291,8323
"Kurk Lee",48,0,265,19,71,3,15,16,56,25,28,7,23,30,34,11,2,20,39,66
"Kurt Nimphius",710,287,14755,1957,4005,2,27,1955,3978,973,1427,1115,1999,3114,768,244,855,742,2054,4889
"Kurt Rambis",1026,524,19025,2059,3878,0,19,2059,3859,1124,1642,1873,3840,5713,1119,904,511,1179,2366,5242
"Kurt Thomas",1180,698,28744,4031,8290,9,33,4022,8257,1345,1781,2052,5783,7835,1271,780,898,1287,3767,9416
"Kwame Brown",645,296,14102,1590,3230,1,9,1589,3221,1038,1848,1136,2385,3521,599,346,399,822,1467,4219
"Ky Bowman",45,12,1015,134,321,33,107,101,214,34,41,24,97,121,131,44,10,70,102,335
"Kyle Alexander",2,0,13,1,2,0,0,1,2,0,0,2,1,3,0,0,0,1,1,2
"Kyle Anderson",547,275,11705,1448,3030,239,695,1209,2335,588,818,405,2011,2416,1342,561,335,545,852,3723
"Kyle Collinsworth",32,2,480,38,99,4,17,34,82,21,40,32,75,107,56,17,9,24,44,101
"Kyle Guy",53,0,431,57,158,27,89,30,69,24,32,9,44,53,50,13,1,24,33,165
"Kyle Korver",1444,445,36002,4798,10850,2861,6718,1937,4132,1514,1724,382,3781,4163,2406,905,465,1493,2927,13971
"Kyle Kuzma",391,261,12132,2420,5377,764,2257,1656,3120,802,1113,425,2064,2489,952,220,207,793,822,6406
"Kyle Lowry",1143,851,35732,5207,12275,2085,5712,3122,6563,3726,4578,868,3985,4853,6974,1467,332,2623,3075,16225
"Kyle Macy",551,NA,14246,2175,4339,192,569,1983,3770,717,821,311,903,1214,2198,631,49,712,1081,5259
"Kyle O'Quinn",472,65,6714,1085,2099,31,142,1054,1957,367,496,628,1538,2166,643,189,453,458,960,2568
"Kyle Singler",436,230,9537,1015,2461,395,1067,620,1394,381,486,350,870,1220,357,250,131,333,887,2806
"Kyle Weaver",73,19,1379,134,304,42,119,92,185,53,72,34,124,158,119,55,33,80,97,363
"Kyle Wiltjer",14,0,44,4,14,4,13,0,1,1,2,4,6,10,2,3,1,5,4,13
"Kyrie Irving",650,650,22251,5573,11835,1500,3828,4073,8007,2507,2841,513,2026,2539,3710,857,273,1686,1499,15153
"Kyrylo Fesenko",135,7,1107,125,252,0,2,125,250,55,134,97,172,269,40,19,53,66,224,305
"KZ Okpala",98,12,965,85,208,28,98,57,110,24,36,40,108,148,47,23,26,28,125,222
"LaBradford Smith",249,42,4008,609,1428,52,164,557,1264,280,351,124,231,355,503,182,20,266,468,1550
"Lamar Green",411,NA,7304,893,2078,NA,NA,893,2078,347,526,NA,NA,2550,310,NA,NA,NA,1041,2133
"Lamar Odom",961,684,32131,4811,10393,664,2126,4147,8267,2495,3599,1821,6238,8059,3554,848,892,2253,2916,12781
"Lamar Patterson",40,0,435,31,95,13,55,18,40,18,25,5,52,57,45,10,2,27,51,93
"Lamar Stevens",139,31,2211,297,630,40,147,257,483,115,162,94,283,377,90,62,45,83,210,749
"LaMarcus Aldridge",1102,1020,36916,8451,17168,258,790,8193,16378,3750,4610,2795,6059,8854,2125,769,1216,1670,2645,20910
"LaMelo Ball",151,131,4756,1033,2431,409,1097,624,1334,414,497,199,746,945,1091,229,59,473,462,2889
"Lamond Murray",736,364,18477,3137,7301,528,1466,2609,5835,1484,1955,936,2097,3033,978,684,319,1207,1471,8286
"Lamont Strothers",13,0,155,24,73,2,15,22,58,10,14,9,6,15,14,9,1,17,15,60
"Lanard Copeland",33,0,158,38,91,1,7,37,84,13,16,5,12,17,14,3,1,23,17,90
"Lancaster Gordon",201,6,2581,472,1208,23,85,449,1123,158,206,116,143,259,294,128,31,237,266,1125
"Lance Allred",3,0,10,1,4,0,0,1,4,1,2,0,1,1,0,0,0,0,1,3
"Lance Blanks",142,2,1045,116,266,19,75,97,191,38,57,31,79,110,117,39,8,63,122,289
"Lance Stephenson",687,214,15227,2314,5157,436,1377,1878,3780,753,1061,400,2253,2653,1978,429,92,1100,1349,5817
"Lance Thomas",461,165,8813,930,2238,172,455,758,1783,461,586,358,858,1216,335,185,63,340,784,2493
"Landry Fields",255,176,6010,684,1446,120,361,564,1085,243,365,248,844,1092,419,212,45,270,310,1731
"Landry Shamet",371,117,8538,1107,2688,758,1917,349,771,390,466,83,574,657,607,171,54,250,683,3362
"Langston Galloway",533,64,11442,1517,3857,761,2062,756,1795,460,565,242,1038,1280,837,351,70,321,807,4255
"LaPhonso Ellis",624,359,17616,2895,6409,241,797,2654,5612,1379,1888,1320,2712,4032,981,433,477,1001,1934,7410
"Lari Ketner",47,0,271,26,64,0,0,26,64,16,24,24,44,68,3,8,6,22,40,68
"Laron Profit",135,18,1537,173,413,21,89,152,324,74,104,52,157,209,166,70,25,116,138,441
"Larry Bergh",20,NA,255,49,120,0,1,49,119,23,33,36,49,85,18,NA,NA,14,52,121
"Larry Bird",897,870,34443,8591,17334,649,1727,7942,15607,3960,4471,1757,7217,8974,5695,1556,755,2816,2279,21791
"Larry Brown",439,NA,12652,1511,3697,54,230,1457,3467,1599,1962,NA,NA,1114,2839,NA,NA,1635,1204,4675
"Larry Bunce",187,NA,3874,472,1122,0,1,472,1121,484,682,NA,NA,1053,113,NA,NA,252,445,1428
"Larry Cannon",267,NA,7303,1512,3736,NA,NA,1480,3609,1112,1468,414,313,727,922,NA,NA,NA,668,4168
"Larry Comley",12,NA,89,8,37,NA,NA,8,37,9,16,NA,NA,19,12,NA,NA,NA,11,25
"Larry Conley",1,NA,18,1,4,0,0,1,4,0,0,0,0,0,0,NA,NA,3,0,2
"Larry Costello",706,NA,21198,3095,7068,NA,NA,3095,7068,2432,2891,NA,NA,2705,3215,NA,NA,NA,2326,8622
"Larry Demic",206,NA,3192,397,865,0,3,397,862,182,314,338,467,805,106,72,49,252,524,976
"Larry Drew",714,NA,18370,3308,7085,118,405,3190,6680,1376,1724,259,1006,1265,3702,791,45,1565,1286,8110
"Larry Drew II",32,1,359,34,106,10,44,24,62,2,3,7,14,21,65,6,0,31,25,80
"Larry Finch",128,NA,3042,428,992,27,79,401,913,223,269,68,149,217,301,78,7,185,326,1106
"Larry Fogle",2,NA,14,1,5,NA,NA,1,5,0,0,1,2,3,0,1,0,NA,4,2
"Larry Foust",889,NA,NA,4126,10180,NA,NA,4126,10180,3823,5136,NA,NA,8662,1464,NA,NA,NA,3150,12075
"Larry Friend",44,NA,569,74,226,NA,NA,74,226,27,41,NA,NA,106,47,NA,NA,NA,54,175
"Larry Hennessy",95,NA,1190,197,597,NA,NA,197,597,72,96,NA,NA,139,100,NA,NA,NA,93,466
"Larry Hughes",977,639,29306,4863,12091,738,2347,4125,9744,2882,3786,929,2990,3919,2932,1430,329,2011,2141,13346
"Larry Johnson",711,NA,25723,4404,9099,NA,NA,4037,7995,2281,2980,1795,3510,5305,2305,520,260,1438,1896,11456
"Larry Jones",631,NA,20657,3963,8731,NA,NA,3795,8126,3109,3910,NA,NA,2964,2236,NA,NA,NA,1771,11203
"Larry Kenon",800,NA,25280,5595,11495,NA,NA,5593,11480,2042,2607,2369,4479,6848,1711,975,256,NA,1787,13234
"Larry Krystkowiak",420,134,9097,1294,2830,5,36,1289,2794,832,1046,643,1408,2051,513,264,62,522,1048,3425
"Larry McNeill",367,NA,6264,1124,2431,NA,NA,1124,2431,900,1138,585,1132,1717,278,211,91,NA,848,3148
"Larry Micheaux",153,0,1462,231,404,0,6,231,398,79,125,164,235,399,79,61,53,93,196,541
"Larry Mikan",53,NA,536,62,186,NA,NA,62,186,34,55,NA,NA,139,41,NA,NA,NA,56,158
"Larry Miller",646,NA,18946,3048,7066,97,408,2951,6658,1987,2787,1154,1903,3057,1446,NA,NA,1207,1402,8180
"Larry Moffett",20,NA,110,5,17,NA,NA,5,17,6,10,10,11,21,7,2,2,8,16,16
"Larry Moore",12,NA,78,8,33,0,5,8,28,11,13,NA,NA,16,1,NA,NA,7,17,27
"Larry Nance",987,855,33080,6857,12584,10,61,6847,12523,3243,4282,2492,5467,7959,2600,935,2186,1866,2945,16967
"Larry Nance Jr.",550,172,12937,1832,3391,203,614,1629,2777,567,826,1087,2432,3519,989,656,287,518,1237,4434
"Larry Owens",31,0,361,34,75,14,31,20,44,11,22,4,39,43,20,18,11,12,46,93
"Larry Robinson",159,22,2259,282,732,94,251,188,481,80,117,113,192,305,153,100,7,118,202,738
"Larry Sanders",238,113,4635,669,1395,0,5,669,1390,182,329,475,870,1345,174,152,429,224,666,1520
"Larry Siegfried",581,NA,14190,2192,5371,NA,NA,2192,5371,1694,1982,NA,NA,1609,2022,NA,NA,NA,1360,6078
"Larry Smith",883,NA,22879,2519,4743,0,7,2519,4736,866,1630,3401,4724,8125,941,699,457,1280,2966,5904
"Larry Spriggs",169,39,2202,341,659,0,6,341,653,191,254,125,259,384,218,80,28,209,338,873
"Larry Staverman",325,NA,4054,572,1231,NA,NA,572,1231,358,458,NA,NA,1195,283,NA,NA,NA,695,1502
"Larry Steele",610,NA,14777,2020,4180,NA,NA,2020,4176,969,1218,NA,NA,1781,1719,NA,NA,NA,1832,5009
"Larry Stewart",270,72,5415,765,1503,9,44,756,1459,466,619,444,633,1077,338,147,106,346,580,2005
"Larry Sykes",1,0,2,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0
"Larry Wright",343,NA,6834,1190,2558,NA,NA,1184,2535,438,564,177,373,550,1165,283,58,NA,791,2824
"Lars Hansen",15,NA,205,29,57,NA,NA,29,57,18,31,22,37,59,14,1,1,9,28,76
"LaRue Martin",271,NA,3795,591,1422,NA,NA,591,1422,248,362,NA,NA,1258,203,NA,NA,NA,617,1430
"LaSalle Thompson",1087,587,23707,3555,7245,4,27,3551,7218,1761,2362,2354,5087,7441,1222,823,1072,1834,3461,8875
"Latrell Sprewell",913,868,35270,6076,14294,1104,3272,4972,11022,3456,4298,770,2954,3724,3664,1294,399,2450,1689,16712
"Lauri Markkanen",329,303,9999,1924,4230,775,2064,1149,2166,884,1034,389,1919,2308,437,219,170,439,621,5507
"Lavor Postell",61,0,446,59,176,11,44,48,132,66,83,11,34,45,13,12,2,35,28,195
"Lavoy Allen",453,89,7977,962,2058,4,28,958,2030,222,327,834,1320,2154,455,144,247,301,832,2150
"Lawrence Boston",13,NA,125,24,52,0,0,24,52,8,13,19,20,39,2,4,2,8,25,56
"Lawrence Funderburke",318,7,4726,812,1606,2,17,810,1589,405,600,447,695,1142,183,94,100,225,360,2031
"Lawrence Moten",119,21,1814,286,701,59,197,227,504,116,178,80,101,181,182,77,32,126,143,747
"Lawrence Roberts",87,18,1150,114,252,0,4,114,248,106,154,127,183,310,35,44,15,41,163,334
"Lazar Hayward",72,0,591,70,202,21,78,49,124,46,60,25,65,90,35,17,8,28,65,207
"Lazaro Borrell",17,6,167,28,63,0,3,28,60,6,11,14,26,40,10,6,3,6,9,62
"Leandro Barbosa",914,112,19768,3674,8046,1053,2726,2621,5320,1342,1635,352,1496,1848,1871,749,128,1155,1786,9743
"Leandro Bolmaro",48,2,306,20,73,5,22,15,51,11,13,19,29,48,28,9,1,20,34,56
"Leary Lentz",218,NA,4762,613,1513,0,5,613,1508,299,455,NA,NA,1190,151,NA,NA,205,381,1525
