"player","g","gs","mp","fg","fga","x3p","x3pa","x2p","x2pa","ft","fta","orb","drb","trb","ast","stl","blk","tov","pf","pts"
"Alan Henderson",652,220,13780,1976,4215,5,26,1971,4189,1137,1778,1426,1823,3249,397,364,297,717,1436,5094
"Alan Ogg",86,1,686,80,165,0,2,80,163,28,48,51,92,143,17,13,61,33,138,188
"Alan Sawyer",33,NA,NA,87,235,NA,NA,87,235,43,50,NA,NA,121,25,NA,NA,NA,75,217
"Alan Williams",67,0,872,163,322,0,2,163,320,87,139,115,256,371,39,37,38,51,155,413
"Alando Tucker",66,1,522,94,221,11,41,83,180,63,81,35,24,59,20,5,2,24,28,262
"Albert King",534,326,12836,2709,5875,56,209,2653,5666,996,1259,760,1502,2262,1171,452,196,1151,1612,6470
"Alec Burks",794,181,18375,2906,6940,919,2393,1987,4547,1999,2465,462,2386,2848,1668,568,175,967,1480,8730
"Alec Kessler",210,24,2937,425,998,10,24,415,974,224,301,258,493,751,81,39,71,192,451,1084
"Alec Peters",20,0,225,28,74,18,58,10,16,8,10,8,29,37,12,2,2,4,13,82
"Aleem Ford",5,0,74,6,20,2,15,4,5,0,0,2,13,15,2,1,0,4,7,14
"Aleksandar Djordjevic",8,0,61,8,16,5,7,3,9,4,5,1,4,5,5,0,0,5,3,25
"Aleksandar Radojević",15,6,152,8,26,0,0,8,26,10,16,11,25,36,7,2,3,20,37,26
"Aleksej Pokusevski",137,65,3000,432,1107,153,505,279,602,87,125,148,539,687,290,79,121,234,203,1104
"Alen Smailagić",29,1,223,31,67,7,23,24,44,18,25,16,27,43,17,6,9,16,25,87
"Álex Abrines",174,16,2777,305,789,219,595,86,194,95,108,49,199,248,88,92,22,72,291,924
"Alex Acker",55,0,433,64,168,15,45,49,123,10,20,17,36,53,28,11,8,18,22,153
"Alex Blackwell",27,0,109,14,42,0,3,14,39,6,8,10,13,23,7,4,2,5,14,34
"Alex Bradley",39,0,331,54,103,0,1,54,102,29,48,31,34,65,11,12,5,28,37,137
"Alex Caruso",269,54,5708,568,1333,212,571,356,762,288,389,142,563,705,747,328,98,327,527,1636
"Alex English",1271,NA,40464,11212,22149,NA,NA,11192,22060,4487,5407,3047,4096,7143,4575,1140,895,NA,3233,26931
"Alex Garcia",10,3,159,19,59,5,18,14,41,4,6,7,8,15,18,6,1,9,15,47
"Alex Groza",130,NA,NA,1013,2136,NA,NA,1013,2136,899,1189,NA,NA,NA,318,NA,NA,NA,458,2925
"Alex Hannum",641,NA,NA,1429,4026,NA,NA,1429,4026,849,1329,NA,NA,NA,1018,NA,NA,NA,2361,3707
"Alex Kirk",5,0,14,1,4,0,0,1,4,2,2,1,0,1,1,0,0,0,1,4
"Alex Len",701,290,12761,2035,3924,134,419,1901,3505,1041,1538,1260,2677,3937,592,267,662,789,1727,5245
"Alex Poythress",52,2,566,76,161,19,53,57,108,26,39,47,75,122,24,10,13,18,77,197
"Alex Scales",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alex Stepheson",16,0,146,18,54,0,0,18,54,8,24,38,18,56,4,2,10,0,24,44
"Alex Stivrins",41,0,166,39,82,0,4,39,78,7,12,17,24,41,7,4,4,17,24,85
"Alexander Johnson",102,25,1302,152,294,0,0,152,294,135,201,82,193,275,30,38,45,89,217,439
"Alexander Volkov",149,31,2453,388,853,48,144,340,709,195,318,155,229,384,333,102,52,154,344,1019
"Alexey Shved",224,34,4038,578,1542,209,668,369,874,418,540,108,346,454,566,140,55,291,249,1783
"Alexis Ajinça",327,78,4245,704,1416,24,76,680,1340,264,333,363,865,1228,153,113,200,267,734,1696
"Alfonzo McKinnie",182,9,2113,287,615,84,258,203,357,63,108,154,300,454,57,51,27,71,266,721
"Alfred McGuire",191,NA,2966,251,663,NA,NA,251,663,255,463,NA,NA,418,363,NA,NA,NA,501,757
"Alfredrick Hughes",68,0,866,152,372,3,17,149,355,49,84,49,64,113,61,26,5,63,79,356
"Alize Johnson",99,1,735,93,197,5,26,88,171,39,57,105,184,289,41,20,10,44,74,230
"Allan Bristow",695,NA,14159,2102,4567,NA,NA,2086,4510,1230,1536,961,1826,2787,2219,514,42,NA,1418,5450
